"created_at";"modified_at";"id";"city";"city_desc";"state";"state_desc";"state_kra_code";"ucc_state_code";"idirect_state_code";"bse_code"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1818;"TIRULDIH";"TIRULDIH";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1819;"TOPA";"TOPA";"JHARKHAND";"JHARKHAND";"20";"13";"JHARKHAND";"JK"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1820;"TOPOSI";"TOPOSI";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1821;"TRAL";"TRAL";"JAMMU AND KASHMIR";"JAMMU AND KASHMIR";"1";"12";"JAMMU AND KASHMIR";"JM"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1822;"TRIMOHINI";"TRIMOHINI";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1823;"TULIN";"TULIN";"WEST BENGAL";"WEST BENGAL";"19";"33";"WEST BENGAL";"WB"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1824;"TUMSAR";"TUMSAR";"MAHARASHTRA";"MAHARASHTRA";"27";"17";"MAHARASHTRA";"MA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1825;"TURUMUNGA";"TURUMUNGA";"ODISHA";"ODISHA";"21";"23";"ODISHA";"OR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1826;"TUSRA";"TUSRA";"ODISHA";"ODISHA";"21";"23";"ODISHA";"OR"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1827;"UDAYARPALAYAM";"UDAYARPALAYAM";"TAMILNADU";"TAMILNADU";"33";"29";"TAMILNADU";"TN"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1828;"UGARBUDRUK";"UGARBUDRUK";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1829;"UGARKHURD";"UGARKHURD";"KARNATAKA";"KARNATAKA";"29";"14";"KARNATAKA";"KA"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1830;"UNDI";"UNDI";"ANDHRA PRADESH";"ANDHRA PRADESH";"28";"3";"ANDHRA PRADESH";"AP"
"0000-00-00 00:00:00";"0000-00-00 00:00:00";1831;"UTRAULA";"UTRAULA";"UTTAR PRADESH";"UTTAR PRADESH";"9";"31";"UTTAR PRADESH";"UP"
